Model,Type,F1 Mean,F1 Std,vs Best
Stacking,Ensemble,0.8883337099501464,0.0009593115037708206,0.010133709950146397
Voting (Soft),Ensemble,0.8796951942274209,0.002443529944673633,0.0014951942274209484
QDA,Individual,0.8782,0.0,0.0
LOGISTIC,Individual,0.8762,0.0,-0.0020000000000000018
Voting (Hard),Ensemble,0.7948943434446714,0.003237716579845828,-0.08330565655532862
RANDOMFOREST,Individual,0.7718300526503901,0.0,-0.10636994734960992
DECISIONTREE,Individual,0.7143659168606741,0.0,-0.1638340831393259
