Model,Raw F1,Raw Std,Engineered F1,Engineered Std,Improvement,Improvement %
QDA,0.8782,0.0029,0.8274889024486791,0.0027548909329811366,-0.05071109755132086,-5.0711097551320865
RANDOMFOREST,0.7718300526503901,0.0049608702698225446,0.7814073819531363,0.0013387821561517334,0.00957732930274624,0.957732930274624
DECISIONTREE,0.7143659168606741,0.008205077326273732,0.7339779806495146,0.005372523552798501,0.019612063788840506,1.9612063788840506
